"site","plant_id","COLOR_caterpillar","PREDATION","PREDATOR","CONTRAST","bg"
"1","1y","green","0","0",1.31188421267056,"yellow"
"1","1y","yellow",NA,NA,0.106750179779327,"yellow"
"1","2y","green","0","0",1.3527450336634,"yellow"
"1","2y","yellow","1","2",0.136104184486822,"yellow"
"1","3y","green","1","2",1.36526336512639,"yellow"
"1","3y","yellow","0","0",0.160447484772713,"yellow"
"1","4y","green",NA,NA,1.09160443671433,"yellow"
"1","4y","yellow",NA,NA,0.103723835130681,"yellow"
"1","1g","green","0","0",0.808138434161446,"green"
"1","1g","yellow","0","0",0.526107981335982,"green"
"1","2g","green","0","0",0.678086302039832,"green"
"1","2g","yellow","0","0",0.483587042879301,"green"
"1","3g","green","0","0",0.690739902926435,"green"
"1","3g","yellow","1","2",0.488583861239934,"green"
"1","4g","green","1","2",0.799847717580503,"green"
"1","4g","yellow","0","0",0.685988904385334,"green"
"2","5y","green",NA,NA,1.27871088555152,"yellow"
"2","5y","yellow","0","0",0.128829725714461,"yellow"
"2","6y","green",NA,NA,1.14698384539283,"yellow"
"2","6y","yellow","0","0",0.110884800170352,"yellow"
"2","7y","green","1","2",1.22219376082424,"yellow"
"2","7y","yellow","1","1",0.132070014983546,"yellow"
"2","8y","green","0","0",1.21722083511367,"yellow"
"2","8y","yellow","1","2",0.13413120930716,"yellow"
"2","9y","green","1","2",1.09662138758103,"yellow"
"2","9y","yellow","0","0",0.108489251742656,"yellow"
"2","10y","green",NA,NA,1.26071533249288,"yellow"
"2","10y","yellow","1",NA,0.227839337599978,"yellow"
"2","11y","green","0","0",1.35980027245334,"yellow"
"2","11y","yellow",NA,NA,0.169853825502595,"yellow"
"2","12y","green","1",NA,1.18814576478052,"yellow"
"2","12y","yellow",NA,NA,0.239184703824297,"yellow"
"2","13y","green","1","2",1.13039882778629,"yellow"
"2","13y","yellow","0","0",0.10350315253956,"yellow"
"2","14y","green","1","2",1.01207300091639,"yellow"
"2","14y","yellow",NA,NA,0.161455691451933,"yellow"
"2","15y","green",NA,NA,1.22231300859338,"yellow"
"2","15y","yellow","0","0",0.118208340705486,"yellow"
"2","16y","green","1","2",0.976228534944731,"yellow"
"2","16y","yellow","0","0",0.131103741934911,"yellow"
"2","17y","green",NA,NA,1.14624949485626,"yellow"
"2","17y","yellow","1","1",0.198460172509436,"yellow"
"2","18y","green","0","0",1.35950359553691,"yellow"
"2","18y","yellow","0","0",0.118544927447106,"yellow"
"2","19y","green","1","2",1.23344278358014,"yellow"
"2","19y","yellow","0","0",0.0976928005044193,"yellow"
"2","20y","green","1",NA,1.21330953717271,"yellow"
"2","20y","yellow","1","2",0.103045851740163,"yellow"
"2","21y","green","0","0",1.30594537402116,"yellow"
"2","21y","yellow","0","0",0.155146914119308,"yellow"
"2","22y","green",NA,NA,1.23224801884886,"yellow"
"2","22y","yellow","0","0",0.193228686331821,"yellow"
"2","23y","green",NA,NA,1.13206187184574,"yellow"
"2","23y","yellow","0","0",0.162372878085027,"yellow"
"2","24y","green","1",NA,1.14940134205596,"yellow"
"2","24y","yellow","0","0",0.0731291672895001,"yellow"
"2","5g","green","0","0",0.858198740079517,"green"
"2","5g","yellow","0","0",0.606544549113299,"green"
"2","6g","green",NA,NA,0.789779683664734,"green"
"2","6g","yellow","0","0",0.528985312840762,"green"
"2","7g","green","1","2",0.726215121733182,"green"
"2","7g","yellow","0","0",0.670838476511442,"green"
"2","8g","green","1","1",0.722685952143401,"green"
"2","8g","yellow","0","0",0.564893451039939,"green"
"2","9g","green",NA,NA,0.717142246668222,"green"
"2","9g","yellow","0","0",0.511988118549573,"green"
"2","10g","green","1","2",0.871146634367487,"green"
"2","10g","yellow","1","2",0.45011392203878,"green"
"2","11g","green","1","2",0.7135088694842,"green"
"2","11g","yellow","1","2",0.665264315371941,"green"
"2","12g","green",NA,NA,0.727939180941739,"green"
"2","12g","yellow","0","0",0.455364746615011,"green"
"2","13g","green","0","0",0.902766225503173,"green"
"2","13g","yellow","1","2",0.621250337989484,"green"
"2","14g","green","1","2",0.888367862970099,"green"
"2","14g","yellow",NA,NA,0.568803132197462,"green"
"2","15g","green","1","2",0.72608412930865,"green"
"2","15g","yellow","1",NA,0.683589993359679,"green"
"2","16g","green","1","2",0.790315744744951,"green"
"2","16g","yellow","0","0",0.53064715374609,"green"
"2","17g","green","1","2",0.867137200963179,"green"
"2","17g","yellow","1","2",0.603491050972597,"green"
"2","18g","green","1","2",0.883879304704738,"green"
"2","18g","yellow",NA,NA,0.509098627157935,"green"
"2","19g","green","1","2",0.988584568135421,"green"
"2","19g","yellow","0","0",0.555425325233925,"green"
"2","20g","green",NA,NA,0.861535215221565,"green"
"2","20g","yellow","0","0",0.448871316916478,"green"
"2","21g","green",NA,NA,1.05108120826679,"green"
"2","21g","yellow","1",NA,0.406431902185401,"green"
"2","22g","green",NA,NA,0.80997587584335,"green"
"2","22g","yellow","1","2",0.462278547692579,"green"
"2","23g","green",NA,NA,0.8171275954298,"green"
"2","23g","yellow","0","0",0.415463381836885,"green"
